D(EF),R_O,GOH
0.355,0.092,-0.411
0.303,0.066,-0.379
0.301,0.088,-0.38
0.086,0.069,0.168
0.014,0.042,0.673
0.311,0.013,0.139
0.006,0.012,1.05
0.341,0.004,0.362
0.099,-0.001,0.751
0.018,0.059,0.561
0.577,0.127,-0.676
0.031,0.072,0.234
0.057,0.001,0.805
0,0.007,0.926
0,0.024,1.092
0.411,0.02,0.56
0.094,0.001,1.086
0.002,0.034,0.962
0.794,0.099,-0.458
0,0.03,0.428
0.05,-0.005,1.167
0.092,0.068,0.382
0.264,0.013,0.51
0.289,0,0.632
0.087,-0.003,1.011
0.096,0.061,0.183
0.719,0.075,-0.695
0.125,0.039,0.32
0.008,0.021,0.847
0.011,0.033,0.771
0.018,0.029,0.907
0.36,0.01,0.537
0.112,0.054,0.291
0.8,0.154,-0.747
0.124,0.091,0.297
0.04,0.006,0.751
0.033,0.017,0.824
0.488,0.107,-0.574
0.487,0.104,-0.57
0.294,0.085,-0.376
0.34,0.092,-0.4
0.031,0.028,1.028
0.359,0.003,0.295
0.328,0.026,0.674
0.005,0.047,0.82
0.003,0.015,1.07
0.021,0.022,0.982
0.021,0.001,1.008
0.159,0.026,0.474
0.823,0.131,-0.808
0.116,0.085,0.384
0.023,0.002,0.956
0.015,0.009,1.045
0.399,0.003,0.283
0.336,0.019,0.695
0.002,0.024,0.254
0.001,0.014,1.018
0.012,0.021,0.977
0.012,0.005,1.087
0,0.015,0.623
0.005,0.029,0.3
0,0.001,0.68
0.282,0.079,-0.338
0.049,0.012,0.907
0.001,-0.004,1.115
0.671,0.11,-1.003
0.036,0.006,0.449
0.337,0.008,0.29
0.173,0.02,0.07
0.046,0.018,0.884
0.045,-0.002,0.878
0.351,0.081,-0.473
0.906,0.119,-1.173
0.366,0.025,0.286
0.058,0.031,0.813
0.486,0.103,-0.566
0.485,0.103,-0.562
0.408,0.045,-0.31
0.016,0.005,1.037
0.03,0.052,0.212
0.016,0.004,1.192
0.044,0.022,0.797
0.016,0.015,0.96
0.004,0.031,0.904
0.054,0.019,0.823
0.017,0.005,1.007
0.034,0.021,0.224
0.016,0.003,1.183
0.086,-0.009,1.06
0.153,0.001,0.511
0.575,0.028,-0.018
0.621,0.021,0.077
0.27,0.001,0.318
0.501,0.018,0.109
0.516,0.009,0.123
0.466,0.017,0.134
0.479,0.015,0.141
0.368,0.014,0.223
0.455,0.018,0.148
0.46,0.021,0.148
0.385,0.014,0.206
0.448,0.017,0.157
0.446,0.015,0.157
0.402,0.011,0.193
0.593,0.112,-0.737
0.577,0.127,-0.676
0.54,0.107,-0.611
0.524,0.117,-0.585
0.51,0.108,-0.576
0.006,-0.006,0.991
0.441,0.012,0.273
0.212,0.013,0.047
0.049,-0.005,0.894
0.08,-0.005,1.01
0.006,0.01,0.514
0.393,0.012,0.462
0.013,0.098,0.208
0,-0.006,0.752
0.282,0.042,-0.364
0.289,0.084,-0.361
0.018,0.005,1.113
0,0.02,0.738
0.076,0.029,0.557
0.024,0.017,0.684
0.072,0.006,0.982
0,0.034,0.56
0.089,0.02,0.865
0.042,0.014,0.623
0.271,0.086,-0.326
0.427,0.1,-0.458
0.281,0.084,-0.344
0.381,0.095,-0.425
0,-0.006,0.907
0.067,0.034,0.652
0.01,-0.001,1.139
0.068,-0.008,0.682
0.016,0.003,0.904
0.012,-0.002,1.044
0.097,0.055,0.724
0.057,0.001,1.199
0.047,-0.009,0.812
0.03,-0.007,0.916
0.207,0.012,0.723
0.039,0.009,1.08
0.047,0.003,1.091
0.16,0.052,0.694
0.01,-0.003,1.112
0.246,-0.003,0.503
0.1,-0.003,0.576
0.034,0.043,0.5
0.018,0.059,0.561
0,0.038,0.626
0,0.048,0.653
0,0.039,0.661
0,0.038,0.663
0,0.035,0.668
0,0.034,0.671
0,0.034,0.676
0.236,0.089,-0.301
0.536,0.112,-0.54
0.295,0.057,-0.374
